,Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Unnamed: 11,Latitude,Longitude,Avg Temp (in F)
85,SP1,2019-10-20,11:00,Alaves,Celta,2,0,H,LIG0,LIG5,Vitoria-Gasteiz,,42.850237,-2.6728711,50
86,SP1,2019-10-20,13:00,Sociedad,Betis,3,1,H,LIG16,LIG4,San Sebastian,,43.318334,-1.9812313,56
87,SP1,2019-10-20,15:00,Espanol,Villarreal,0,1,A,LIG7,LIG19,Barcelona,,41.3850639,2.1734035,70
88,SP1,2019-10-20,17:30,Ath Bilbao,Valladolid,1,1,D,LIG1,LIG18,Bilbao,,43.2630126,-2.9349852,55
89,SP1,2019-10-20,20:00,Sevilla,Levante,1,0,H,LIG15,LIG11,Seville,,37.3890924,-5.9844589,63
90,SP1,2019-10-25,20:00,Villarreal,Alaves,4,1,H,LIG19,LIG0,Villarreal,,39.9397706,-0.1005932,68
91,SP1,2019-10-26,15:00,Leganes,Mallorca,1,0,H,LIG10,LIG12,Leganes,,40.3319506,-3.7686545,69
92,SP1,2019-10-26,17:30,Valladolid,Eibar,2,0,H,LIG18,LIG6,Valladolid,,41.652251,-4.724532099999999,63
93,SP1,2019-10-26,20:00,Ath Madrid,Ath Bilbao,2,0,H,LIG2,LIG1,Madrid,,40.4167754,-3.7037902,69
94,SP1,2019-10-27,11:00,Celta,Sociedad,0,1,A,LIG5,LIG16,Vigo,,42.24059889999999,-8.7207268,64
95,SP1,2019-10-27,13:00,Granada,Betis,1,0,H,LIG9,LIG4,Granada,,37.1773363,-3.5985571,64
96,SP1,2019-10-27,15:00,Levante,Espanol,0,1,A,LIG11,LIG7,Valencia,,39.4699075,-0.3762881,66
97,SP1,2019-10-27,17:30,Sevilla,Getafe,2,0,H,LIG15,LIG8,Seville,,37.3890924,-5.9844589,71
98,SP1,2019-10-27,20:00,Osasuna,Valencia,3,1,H,LIG13,LIG17,Pamplona,,42.812526,-1.6457745,59
99,SP1,2019-10-29,18:00,Alaves,Ath Madrid,1,1,D,LIG0,LIG2,Vitoria-Gasteiz,,42.850237,-2.6728711,63
100,SP1,2019-10-29,20:15,Barcelona,Valladolid,5,1,H,LIG3,LIG18,Barcelona,,41.3850639,2.1734035,69
101,SP1,2019-10-30,18:00,Sociedad,Levante,1,2,A,LIG16,LIG11,San Sebastian,,43.318334,-1.9812313,67
102,SP1,2019-10-30,18:00,Valencia,Sevilla,1,1,D,LIG17,LIG15,Valencia,,39.4699075,-0.3762881,71
103,SP1,2019-10-30,19:00,Ath Bilbao,Espanol,3,0,H,LIG1,LIG7,Bilbao,,43.2630126,-2.9349852,67
104,SP1,2019-10-30,20:00,Betis,Celta,2,1,H,LIG4,LIG5,Seville,,37.3890924,-5.9844589,72
105,SP1,2019-10-30,20:15,Real Madrid,Leganes,5,0,H,LIG14,LIG10,Madrid,,40.4167754,-3.7037902,64
106,SP1,2019-10-31,18:00,Eibar,Villarreal,2,1,H,LIG6,LIG19,Eibar,,43.1827331,-2.4814679,62
107,SP1,2019-10-31,18:00,Mallorca,Osasuna,2,2,D,LIG12,LIG13,Palma,,39.5696005,2.6501603,70
108,SP1,2019-10-31,20:15,Getafe,Granada,3,1,H,LIG8,LIG9,Getafe,,40.3082504,-3.7323934,64
109,SP1,2019-11-02,12:00,Espanol,Valencia,1,2,A,LIG7,LIG17,Barcelona,,41.3850639,2.1734035,69
110,SP1,2019-11-02,15:00,Levante,Barcelona,3,1,H,LIG11,LIG3,Valencia,,39.4699075,-0.3762881,72
111,SP1,2019-11-02,17:30,Sevilla,Ath Madrid,1,1,D,LIG15,LIG2,Seville,,37.3890924,-5.9844589,72
112,SP1,2019-11-02,20:00,Real Madrid,Betis,0,0,D,LIG14,LIG4,Madrid,,40.4167754,-3.7037902,61
113,SP1,2019-11-03,11:00,Valladolid,Mallorca,3,0,H,LIG18,LIG12,Valladolid,,41.652251,-4.724532099999999,52
114,SP1,2019-11-03,13:00,Villarreal,Ath Bilbao,0,0,D,LIG19,LIG1,Villarreal,,39.9397706,-0.1005932,71
115,SP1,2019-11-03,15:00,Osasuna,Alaves,4,2,H,LIG13,LIG0,Pamplona,,42.812526,-1.6457745,50
116,SP1,2019-11-03,17:30,Celta,Getafe,0,1,A,LIG5,LIG8,Vigo,,42.24059889999999,-8.7207268,57
117,SP1,2019-11-03,17:30,Leganes,Eibar,1,2,A,LIG10,LIG6,Leganes,,40.3319506,-3.7686545,58
118,SP1,2019-11-03,20:00,Granada,Sociedad,1,2,A,LIG9,LIG16,Granada,,37.1773363,-3.5985571,57
119,SP1,2019-11-08,20:00,Sociedad,Leganes,1,1,D,LIG16,LIG10,San Sebastian,,43.318334,-1.9812313,49
120,SP1,2019-11-09,12:00,Alaves,Valladolid,3,0,H,LIG0,LIG18,Vitoria-Gasteiz,,42.850237,-2.6728711,45
121,SP1,2019-11-09,15:00,Valencia,Granada,2,0,H,LIG17,LIG9,Valencia,,39.4699075,-0.3762881,58
122,SP1,2019-11-09,17:30,Eibar,Real Madrid,0,4,A,LIG6,LIG14,Eibar,,43.1827331,-2.4814679,51
123,SP1,2019-11-09,20:00,Barcelona,Celta,4,1,H,LIG3,LIG5,Barcelona,,41.3850639,2.1734035,55
124,SP1,2019-11-10,11:00,Mallorca,Villarreal,3,1,H,LIG12,LIG19,Palma,,39.5696005,2.6501603,53
125,SP1,2019-11-10,13:00,Ath Bilbao,Levante,2,1,H,LIG1,LIG11,Bilbao,,43.2630126,-2.9349852,50
126,SP1,2019-11-10,15:00,Ath Madrid,Espanol,3,1,H,LIG2,LIG7,Madrid,,40.4167754,-3.7037902,47
127,SP1,2019-11-10,17:30,Getafe,Osasuna,0,0,D,LIG8,LIG13,Getafe,,40.3082504,-3.7323934,47
