Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,
I1,16/02/2020,14:00,Sassuolo,Parma,0,1,A,SER15,SER12,Sassuolo,
I1,16/02/2020,17:00,Cagliari,Napoli,0,1,A,SER3,SER11,Cagliari,
I1,16/02/2020,19:45,Lazio,Inter,2,1,H,SER8,SER6,Rome,
I1,17/02/2020,19:45,Milan,Torino,1,0,H,SER10,SER17,Milan,
I1,21/02/2020,19:45,Brescia,Napoli,1,2,A,SER2,SER11,Brescia,
I1,22/02/2020,14:00,Bologna,Udinese,1,1,D,SER1,SER18,Bologna,
I1,22/02/2020,17:00,Spal,Juventus,1,2,A,SER16,SER7,Ferrara,
I1,22/02/2020,19:45,Fiorentina,Milan,1,1,D,SER4,SER10,Florence,
I1,23/02/2020,11:30,Genoa,Lazio,2,3,A,SER5,SER8,Genoa,
I1,23/02/2020,17:00,Roma,Lecce,4,0,H,SER13,SER9,Rome,
I1,29/02/2020,14:00,Lazio,Bologna,2,0,H,SER8,SER1,Rome,
I1,29/02/2020,19:45,Napoli,Torino,2,1,H,SER11,SER17,Naples,
I1,1/3/20,14:00,Lecce,Atalanta,2,7,A,SER9,SER0,Lecce,
I1,1/3/20,17:00,Cagliari,Roma,3,4,A,SER3,SER13,Cagliari,
I1,8/3/20,11:30,Parma,Spal,0,1,A,SER12,SER16,Parma,
I1,8/3/20,14:00,Milan,Genoa,1,2,A,SER10,SER5,Milan,
I1,8/3/20,14:00,Sampdoria,Verona,2,1,H,SER14,SER19,Genoa,
I1,8/3/20,17:00,Udinese,Fiorentina,0,0,D,SER18,SER4,Udine,
I1,8/3/20,19:45,Juventus,Inter,2,0,H,SER7,SER6,Turin,
I1,9/3/20,17:30,Sassuolo,Brescia,3,0,H,SER15,SER2,Sassuolo,
I1,20/06/2020,18:30,Torino,Parma,1,1,D,SER17,SER12,Turin,
I1,20/06/2020,20:45,Verona,Cagliari,2,1,H,SER19,SER3,Verona,
I1,21/06/2020,18:30,Atalanta,Sassuolo,4,1,H,SER0,SER15,Bergamo,
I1,21/06/2020,20:45,Inter,Sampdoria,2,1,H,SER6,SER14,Milan,
I1,22/06/2020,18:30,Fiorentina,Brescia,1,1,D,SER4,SER2,Florence,
I1,22/06/2020,18:30,Lecce,Milan,1,4,A,SER9,SER10,Lecce,
I1,22/06/2020,20:45,Bologna,Juventus,0,2,A,SER1,SER7,Bologna,
I1,23/06/2020,18:30,Spal,Cagliari,0,1,A,SER16,SER3,Ferrara,
I1,23/06/2020,18:30,Verona,Napoli,0,2,A,SER19,SER11,Verona,
I1,23/06/2020,20:45,Genoa,Parma,1,4,A,SER5,SER12,Genoa,
I1,23/06/2020,20:45,Torino,Udinese,1,0,H,SER17,SER18,Turin,
I1,24/06/2020,18:30,Inter,Sassuolo,3,3,D,SER6,SER15,Milan,
I1,24/06/2020,20:45,Atalanta,Lazio,3,2,H,SER0,SER8,Bergamo,
I1,24/06/2020,20:45,Roma,Sampdoria,2,1,H,SER13,SER14,Rome,
I1,26/06/2020,20:45,Juventus,Lecce,4,0,H,SER7,SER9,Turin,
I1,27/06/2020,16:15,Brescia,Genoa,2,2,D,SER2,SER5,Brescia,
I1,27/06/2020,18:30,Cagliari,Torino,4,2,H,SER3,SER17,Cagliari,
I1,27/06/2020,20:45,Lazio,Fiorentina,2,1,H,SER8,SER4,Rome,
I1,28/06/2020,16:15,Milan,Roma,2,0,H,SER10,SER13,Milan,
I1,28/06/2020,18:30,Napoli,Spal,3,1,H,SER11,SER16,Naples,
I1,28/06/2020,18:30,Sampdoria,Bologna,1,2,A,SER14,SER1,Genoa,
I1,28/06/2020,18:30,Sassuolo,Verona,3,3,D,SER15,SER19,Sassuolo,
I1,28/06/2020,18:30,Udinese,Atalanta,2,3,A,SER18,SER0,Udine,
I1,28/06/2020,20:45,Parma,Inter,1,2,A,SER12,SER6,Parma,
I1,30/06/2020,18:30,Torino,Lazio,1,2,A,SER17,SER8,Turin,
I1,30/06/2020,20:45,Genoa,Juventus,1,3,A,SER5,SER7,Genoa,
I1,1/7/20,18:30,Bologna,Cagliari,1,1,D,SER1,SER3,Bologna,
I1,1/7/20,18:30,Inter,Brescia,6,0,H,SER6,SER2,Milan,
I1,1/7/20,20:45,Fiorentina,Sassuolo,1,3,A,SER4,SER15,Florence,
I1,1/7/20,20:45,Lecce,Sampdoria,1,2,A,SER9,SER14,Lecce,
I1,1/7/20,20:45,Spal,Milan,2,2,D,SER16,SER10,Ferrara,
I1,1/7/20,20:45,Verona,Parma,3,2,H,SER19,SER12,Verona,
I1,2/7/20,18:30,Atalanta,Napoli,2,0,H,SER0,SER11,Bergamo,
I1,2/7/20,20:45,Roma,Udinese,0,2,A,SER13,SER18,Rome,
I1,4/7/20,16:15,Juventus,Torino,4,1,H,SER7,SER17,Turin,
I1,4/7/20,18:30,Sassuolo,Lecce,4,2,H,SER15,SER9,Sassuolo,
I1,4/7/20,20:45,Lazio,Milan,0,3,A,SER8,SER10,Rome,
I1,5/7/20,16:15,Inter,Bologna,1,2,A,SER6,SER1,Milan,
I1,5/7/20,18:30,Brescia,Verona,2,0,H,SER2,SER19,Brescia,
I1,5/7/20,18:30,Cagliari,Atalanta,0,1,A,SER3,SER0,Cagliari,
I1,5/7/20,18:30,Parma,Fiorentina,1,2,A,SER12,SER4,Parma,
I1,5/7/20,18:30,Sampdoria,Spal,3,0,H,SER14,SER16,Genoa,
I1,5/7/20,18:30,Udinese,Genoa,2,2,D,SER18,SER5,Udine,
I1,5/7/20,20:45,Napoli,Roma,2,1,H,SER11,SER13,Naples,
I1,7/7/20,18:30,Lecce,Lazio,2,1,H,SER9,SER8,Lecce,
I1,7/7/20,20:45,Milan,Juventus,4,2,H,SER10,SER7,Milan,
I1,8/7/20,18:30,Fiorentina,Cagliari,0,0,D,SER4,SER3,Florence,
I1,8/7/20,18:30,Genoa,Napoli,1,2,A,SER5,SER11,Genoa,
I1,8/7/20,20:45,Atalanta,Sampdoria,2,0,H,SER0,SER14,Bergamo,
I1,8/7/20,20:45,Bologna,Sassuolo,1,2,A,SER1,SER15,Bologna,
I1,8/7/20,20:45,Roma,Parma,2,1,H,SER13,SER12,Rome,
I1,8/7/20,20:45,Torino,Brescia,3,1,H,SER17,SER2,Turin,
I1,9/7/20,18:30,Spal,Udinese,0,3,A,SER16,SER18,Ferrara,
I1,9/7/20,20:45,Verona,Inter,2,2,D,SER19,SER6,Verona,
I1,11/7/20,16:15,Lazio,Sassuolo,1,2,A,SER8,SER15,Rome,
I1,11/7/20,18:30,Brescia,Roma,0,3,A,SER2,SER13,Brescia,
I1,11/7/20,20:45,Juventus,Atalanta,2,2,D,SER7,SER0,Turin,
I1,12/7/20,16:15,Genoa,Spal,2,0,H,SER5,SER16,Genoa,
I1,12/7/20,18:30,Cagliari,Lecce,0,0,D,SER3,SER9,Cagliari,
I1,12/7/20,18:30,Fiorentina,Verona,1,1,D,SER4,SER19,Florence,
I1,12/7/20,18:30,Parma,Bologna,2,2,D,SER12,SER1,Parma,
I1,12/7/20,18:30,Udinese,Sampdoria,1,3,A,SER18,SER14,Udine,
I1,12/7/20,20:45,Napoli,Milan,2,2,D,SER11,SER10,Naples,
I1,13/07/2020,20:45,Inter,Torino,3,1,H,SER6,SER17,Milan,
