Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,
D1,8/12/19,14:30,Union Berlin,FC Koln,2,0,H,BUN15,BUN4,Berlin,
D1,8/12/19,17:00,Werder Bremen,Paderborn,0,1,A,BUN16,BUN12,Bremen,
D1,13/12/2019,19:30,Hoffenheim,Augsburg,2,4,A,BUN8,BUN0,Sinsheim,
D1,14/12/2019,14:30,Bayern Munich,Werder Bremen,6,1,H,BUN1,BUN16,Munich,
D1,14/12/2019,14:30,FC Koln,Leverkusen,2,0,H,BUN4,BUN9,Cologne,
D1,14/12/2019,14:30,Hertha,Freiburg,1,0,H,BUN7,BUN6,Berlin,
D1,14/12/2019,14:30,Mainz,Dortmund,0,4,A,BUN10,BUN2,Mainz,
D1,14/12/2019,14:30,Paderborn,Union Berlin,1,1,D,BUN12,BUN15,Paderborn,
D1,14/12/2019,17:30,Fortuna Dusseldorf,RB Leipzig,0,3,A,BUN5,BUN13,Dusseldorf,
D1,15/12/2019,14:30,Wolfsburg,M'gladbach,2,1,H,BUN17,BUN11,Wolfsburg,
D1,15/12/2019,17:00,Schalke 04,Ein Frankfurt,1,0,H,BUN14,BUN3,Gelsenkirchen,
D1,17/12/2019,17:30,Werder Bremen,Mainz,0,5,A,BUN16,BUN10,Bremen,
D1,17/12/2019,19:30,Augsburg,Fortuna Dusseldorf,3,0,H,BUN0,BUN5,Augsburg,
D1,17/12/2019,19:30,Dortmund,RB Leipzig,3,3,D,BUN2,BUN13,Dortmund,
D1,17/12/2019,19:30,Union Berlin,Hoffenheim,0,2,A,BUN15,BUN8,Berlin,
D1,18/12/2019,17:30,Leverkusen,Hertha,0,1,A,BUN9,BUN7,Leverkusen,
D1,18/12/2019,19:30,Ein Frankfurt,FC Koln,2,4,A,BUN3,BUN4,Frankfurt,
D1,18/12/2019,19:30,Freiburg,Bayern Munich,1,3,A,BUN6,BUN1,Freiburg,
D1,18/12/2019,19:30,M'gladbach,Paderborn,2,0,H,BUN11,BUN12,Monchengladbach,
D1,18/12/2019,19:30,Wolfsburg,Schalke 04,1,1,D,BUN17,BUN14,Wolfsburg,
D1,20/12/2019,19:30,Hoffenheim,Dortmund,2,1,H,BUN8,BUN2,Sinsheim,
D1,21/12/2019,14:30,Bayern Munich,Wolfsburg,2,0,H,BUN1,BUN17,Munich,
D1,21/12/2019,14:30,FC Koln,Werder Bremen,1,0,H,BUN4,BUN16,Cologne,
D1,21/12/2019,14:30,Mainz,Leverkusen,0,1,A,BUN10,BUN9,Mainz,
D1,21/12/2019,14:30,RB Leipzig,Augsburg,3,1,H,BUN13,BUN0,Leipzig,
D1,21/12/2019,14:30,Schalke 04,Freiburg,2,2,D,BUN14,BUN6,Gelsenkirchen,
D1,21/12/2019,17:30,Hertha,M'gladbach,0,0,D,BUN7,BUN11,Berlin,
D1,22/12/2019,14:30,Fortuna Dusseldorf,Union Berlin,2,1,H,BUN5,BUN15,Dusseldorf,
D1,22/12/2019,17:00,Paderborn,Ein Frankfurt,2,1,H,BUN12,BUN3,Paderborn,
D1,17/01/2020,19:30,Schalke 04,M'gladbach,2,0,H,BUN14,BUN11,Gelsenkirchen,
D1,18/01/2020,14:30,Augsburg,Dortmund,3,5,A,BUN0,BUN2,Augsburg,
D1,18/01/2020,14:30,FC Koln,Wolfsburg,3,1,H,BUN4,BUN17,Cologne,
D1,18/01/2020,14:30,Fortuna Dusseldorf,Werder Bremen,0,1,A,BUN5,BUN16,Dusseldorf,
D1,18/01/2020,14:30,Hoffenheim,Ein Frankfurt,1,2,A,BUN8,BUN3,Sinsheim,
D1,18/01/2020,14:30,Mainz,Freiburg,1,2,A,BUN10,BUN6,Mainz,
D1,18/01/2020,17:30,RB Leipzig,Union Berlin,3,1,H,BUN13,BUN15,Leipzig,
D1,19/01/2020,14:30,Hertha,Bayern Munich,0,4,A,BUN7,BUN1,Berlin,
D1,19/01/2020,17:00,Paderborn,Leverkusen,1,4,A,BUN12,BUN9,Paderborn,
D1,24/01/2020,19:30,Dortmund,FC Koln,5,1,H,BUN2,BUN4,Dortmund,
D1,25/01/2020,14:30,Ein Frankfurt,RB Leipzig,2,0,H,BUN3,BUN13,Frankfurt,
D1,25/01/2020,14:30,Freiburg,Paderborn,0,2,A,BUN6,BUN12,Freiburg,
D1,25/01/2020,14:30,M'gladbach,Mainz,3,1,H,BUN11,BUN10,Monchengladbach,
D1,25/01/2020,14:30,Union Berlin,Augsburg,2,0,H,BUN15,BUN0,Berlin,
D1,25/01/2020,14:30,Wolfsburg,Hertha,1,2,A,BUN17,BUN7,Wolfsburg,
D1,25/01/2020,17:30,Bayern Munich,Schalke 04,5,0,H,BUN1,BUN14,Munich,
D1,26/01/2020,14:30,Werder Bremen,Hoffenheim,0,3,A,BUN16,BUN8,Bremen,
D1,26/01/2020,17:00,Leverkusen,Fortuna Dusseldorf,3,0,H,BUN9,BUN5,Leverkusen,
D1,31/01/2020,19:30,Hertha,Schalke 04,0,0,D,BUN7,BUN14,Berlin,
D1,1/2/20,14:30,Augsburg,Werder Bremen,2,1,H,BUN0,BUN16,Augsburg,
D1,1/2/20,14:30,Dortmund,Union Berlin,5,0,H,BUN2,BUN15,Dortmund,
D1,1/2/20,14:30,Fortuna Dusseldorf,Ein Frankfurt,1,1,D,BUN5,BUN3,Dusseldorf,
D1,1/2/20,14:30,Hoffenheim,Leverkusen,2,1,H,BUN8,BUN9,Sinsheim,
D1,1/2/20,14:30,Mainz,Bayern Munich,1,3,A,BUN10,BUN1,Mainz,
D1,1/2/20,17:30,RB Leipzig,M'gladbach,2,2,D,BUN13,BUN11,Leipzig,
D1,2/2/20,14:30,FC Koln,Freiburg,4,0,H,BUN4,BUN6,Cologne,
D1,2/2/20,17:00,Paderborn,Wolfsburg,2,4,A,BUN12,BUN17,Paderborn,
D1,7/2/20,19:30,Ein Frankfurt,Augsburg,5,0,H,BUN3,BUN0,Frankfurt,
D1,8/2/20,14:30,Freiburg,Hoffenheim,1,0,H,BUN6,BUN8,Freiburg,
D1,8/2/20,14:30,Hertha,Mainz,1,3,A,BUN7,BUN10,Berlin,
D1,8/2/20,14:30,Schalke 04,Paderborn,1,1,D,BUN14,BUN12,Gelsenkirchen,
D1,8/2/20,14:30,Werder Bremen,Union Berlin,0,2,A,BUN16,BUN15,Bremen,
D1,8/2/20,14:30,Wolfsburg,Fortuna Dusseldorf,1,1,D,BUN17,BUN5,Wolfsburg,
D1,8/2/20,17:30,Leverkusen,Dortmund,4,3,H,BUN9,BUN2,Leverkusen,
D1,9/2/20,17:00,Bayern Munich,RB Leipzig,0,0,D,BUN1,BUN13,Munich,
D1,14/02/2020,19:30,Dortmund,Ein Frankfurt,4,0,H,BUN2,BUN3,Dortmund,
D1,15/02/2020,14:30,Augsburg,Freiburg,1,1,D,BUN0,BUN6,Augsburg,
D1,15/02/2020,14:30,Hoffenheim,Wolfsburg,2,3,A,BUN8,BUN17,Sinsheim,
D1,15/02/2020,14:30,Paderborn,Hertha,1,2,A,BUN12,BUN7,Paderborn,
