,Div,Team,Team ID,Date,Opponent,Attendance
238,E0,Man_City,EPL10,27/12/2019,Wolverhampton Wanderers,31737.0
239,E0,Man_City,EPL10,7/1/2020,Manchester United,69023.0
240,E0,Man_City,EPL10,12/1/2020,Aston Villa,41823.0
241,E0,Man_City,EPL10,21/1/2020,Sheffield United,31285.0
242,E0,Man_City,EPL10,2/2/2020,Tottenham Hotspur,61022.0
243,E0,Man_City,EPL10,22/2/2020,Leicester City,32068.0
244,E0,Man_City,EPL10,26/2/2020,Real Madrid,75615.0
245,E0,Man_City,EPL10,1/3/2020,Aston Villa,82145.0
246,E0,Man_City,EPL10,4/3/2020,Sheffield Wednesday,20995.0
247,E0,Man_City,EPL10,8/3/2020,Manchester United,73288.0
248,E0,Man_City,EPL10,25/6/2020,Chelsea,
249,E0,Man_City,EPL10,28/6/2020,Newcastle United,
250,E0,Man_City,EPL10,5/7/2020,Southampton,
251,E0,Man_City,EPL10,11/7/2020,Brighton & Hove Albion,
252,E0,Man_United,EPL11,19/8/2019,Wolverhampton Wanderers,31314.0
253,E0,Man_United,EPL11,31/8/2019,Southampton,30499.0
254,E0,Man_United,EPL11,22/9/2019,West Ham United,59936.0
255,E0,Man_United,EPL11,3/10/2019,AZ Alkmaar,13863.0
256,E0,Man_United,EPL11,6/10/2019,Newcastle United,51198.0
257,E0,Man_United,EPL11,24/10/2019,FK Partizan,25627.0
258,E0,Man_United,EPL11,27/10/2019,Norwich City,27108.0
259,E0,Man_United,EPL11,30/10/2019,Chelsea,38645.0
260,E0,Man_United,EPL11,2/11/2019,AFC Bournemouth,10669.0
261,E0,Man_United,EPL11,24/11/2019,Sheffield United,32024.0
262,E0,Man_United,EPL11,28/11/2019,Astana,
263,E0,Man_United,EPL11,7/12/2019,Manchester City,54403.0
264,E0,Man_United,EPL11,22/12/2019,Watford,21488.0
265,E0,Man_United,EPL11,28/12/2019,Burnley,21924.0
266,E0,Man_United,EPL11,1/1/2020,Arsenal,60328.0
267,E0,Man_United,EPL11,4/1/2020,Wolverhampton Wanderers,31381.0
268,E0,Man_United,EPL11,19/1/2020,Liverpool,52916.0
269,E0,Man_United,EPL11,26/1/2020,Tranmere Rovers,
270,E0,Man_United,EPL11,29/1/2020,Manchester City,
271,E0,Man_United,EPL11,17/2/2020,Chelsea,40504.0
272,E0,Man_United,EPL11,20/2/2020,Club Brugge,27006.0
