Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,
SP1,2/11/19,20:00,Real Madrid,Betis,0,0,D,LIG14,LIG4,Madrid,
SP1,3/11/19,11:00,Valladolid,Mallorca,3,0,H,LIG18,LIG12,Valladolid,
SP1,3/11/19,13:00,Villarreal,Ath Bilbao,0,0,D,LIG19,LIG1,Villarreal,
SP1,3/11/19,15:00,Osasuna,Alaves,4,2,H,LIG13,LIG0,Pamplona,
SP1,3/11/19,17:30,Celta,Getafe,0,1,A,LIG5,LIG8,Vigo,
SP1,3/11/19,17:30,Leganes,Eibar,1,2,A,LIG10,LIG6,Leganes,
SP1,3/11/19,20:00,Granada,Sociedad,1,2,A,LIG9,LIG16,Granada,
SP1,8/11/19,20:00,Sociedad,Leganes,1,1,D,LIG16,LIG10,San Sebastian,
SP1,9/11/19,12:00,Alaves,Valladolid,3,0,H,LIG0,LIG18,Vitoria-Gasteiz,
SP1,9/11/19,15:00,Valencia,Granada,2,0,H,LIG17,LIG9,Valencia,
SP1,9/11/19,17:30,Eibar,Real Madrid,0,4,A,LIG6,LIG14,Eibar,
SP1,9/11/19,20:00,Barcelona,Celta,4,1,H,LIG3,LIG5,Barcelona,
SP1,10/11/19,11:00,Mallorca,Villarreal,3,1,H,LIG12,LIG19,Palma,
SP1,10/11/19,13:00,Ath Bilbao,Levante,2,1,H,LIG1,LIG11,Bilbao,
SP1,10/11/19,15:00,Ath Madrid,Espanol,3,1,H,LIG2,LIG7,Madrid,
SP1,10/11/19,17:30,Getafe,Osasuna,0,0,D,LIG8,LIG13,Getafe,
SP1,10/11/19,20:00,Betis,Sevilla,1,2,A,LIG4,LIG15,Seville,
SP1,22/11/2019,20:00,Levante,Mallorca,2,1,H,LIG11,LIG12,Valencia,
SP1,23/11/2019,12:00,Leganes,Barcelona,1,2,A,LIG10,LIG3,Leganes,
SP1,23/11/2019,15:00,Betis,Valencia,2,1,H,LIG4,LIG17,Seville,
SP1,23/11/2019,17:30,Granada,Ath Madrid,1,1,D,LIG9,LIG2,Granada,
SP1,23/11/2019,20:00,Real Madrid,Sociedad,3,1,H,LIG14,LIG16,Madrid,
SP1,24/11/2019,11:00,Espanol,Getafe,1,1,D,LIG7,LIG8,Barcelona,
SP1,24/11/2019,13:00,Osasuna,Ath Bilbao,1,2,A,LIG13,LIG1,Pamplona,
SP1,24/11/2019,15:00,Eibar,Alaves,0,2,A,LIG6,LIG0,Eibar,
SP1,24/11/2019,17:30,Villarreal,Celta,1,3,A,LIG19,LIG5,Villarreal,
SP1,24/11/2019,20:00,Valladolid,Sevilla,0,1,A,LIG18,LIG15,Valladolid,
SP1,29/11/2019,20:00,Celta,Valladolid,0,0,D,LIG5,LIG18,Vigo,
SP1,30/11/2019,12:00,Alaves,Real Madrid,1,2,A,LIG0,LIG14,Vitoria-Gasteiz,
SP1,30/11/2019,15:00,Sociedad,Eibar,4,1,H,LIG16,LIG6,San Sebastian,
SP1,30/11/2019,17:30,Mallorca,Betis,1,2,A,LIG12,LIG4,Palma,
SP1,30/11/2019,20:00,Valencia,Villarreal,2,1,H,LIG17,LIG19,Valencia,
SP1,1/12/19,11:00,Sevilla,Leganes,1,0,H,LIG15,LIG10,Seville,
SP1,1/12/19,13:00,Ath Bilbao,Granada,2,0,H,LIG1,LIG9,Bilbao,
SP1,1/12/19,15:00,Espanol,Osasuna,2,4,A,LIG7,LIG13,Barcelona,
SP1,1/12/19,17:30,Getafe,Levante,4,0,H,LIG8,LIG11,Getafe,
SP1,1/12/19,20:00,Ath Madrid,Barcelona,0,1,A,LIG2,LIG3,Madrid,
SP1,6/12/19,20:00,Villarreal,Ath Madrid,0,0,D,LIG19,LIG2,Villarreal,
SP1,7/12/19,12:00,Real Madrid,Espanol,2,0,H,LIG14,LIG7,Madrid,
SP1,7/12/19,15:00,Granada,Alaves,3,0,H,LIG9,LIG0,Granada,
SP1,7/12/19,17:30,Levante,Valencia,2,4,A,LIG11,LIG17,Valencia,
SP1,7/12/19,20:00,Barcelona,Mallorca,5,2,H,LIG3,LIG12,Barcelona,
SP1,8/12/19,11:00,Eibar,Getafe,0,1,A,LIG6,LIG8,Eibar,
SP1,8/12/19,13:00,Betis,Ath Bilbao,3,2,H,LIG4,LIG1,Seville,
SP1,8/12/19,15:00,Valladolid,Sociedad,0,0,D,LIG18,LIG16,Valladolid,
SP1,8/12/19,17:30,Leganes,Celta,3,2,H,LIG10,LIG5,Leganes,
SP1,8/12/19,20:00,Osasuna,Sevilla,1,1,D,LIG13,LIG15,Pamplona,
SP1,13/12/2019,20:00,Alaves,Leganes,1,1,D,LIG0,LIG10,Vitoria-Gasteiz,
SP1,14/12/2019,12:00,Granada,Levante,1,2,A,LIG9,LIG11,Granada,
SP1,14/12/2019,15:00,Sociedad,Barcelona,2,2,D,LIG16,LIG3,San Sebastian,
SP1,14/12/2019,17:30,Ath Bilbao,Eibar,0,0,D,LIG1,LIG6,Bilbao,
SP1,14/12/2019,20:00,Ath Madrid,Osasuna,2,0,H,LIG2,LIG13,Madrid,
SP1,15/12/2019,11:00,Getafe,Valladolid,2,0,H,LIG8,LIG18,Getafe,
SP1,15/12/2019,13:00,Celta,Mallorca,2,2,D,LIG5,LIG12,Vigo,
SP1,15/12/2019,15:00,Espanol,Betis,2,2,D,LIG7,LIG4,Barcelona,
SP1,15/12/2019,17:30,Sevilla,Villarreal,1,2,A,LIG15,LIG19,Seville,
SP1,15/12/2019,20:00,Valencia,Real Madrid,1,1,D,LIG17,LIG14,Valencia,
SP1,18/12/2019,19:00,Barcelona,Real Madrid,0,0,D,LIG3,LIG14,Barcelona,
SP1,20/12/2019,20:00,Eibar,Granada,3,0,H,LIG6,LIG9,Eibar,
SP1,21/12/2019,12:00,Mallorca,Sevilla,0,2,A,LIG12,LIG15,Palma,
SP1,21/12/2019,15:00,Barcelona,Alaves,4,1,H,LIG3,LIG0,Barcelona,
SP1,21/12/2019,17:30,Villarreal,Getafe,1,0,H,LIG19,LIG8,Villarreal,
SP1,21/12/2019,20:00,Valladolid,Valencia,1,1,D,LIG18,LIG17,Valladolid,
SP1,22/12/2019,11:00,Leganes,Espanol,2,0,H,LIG10,LIG7,Leganes,
SP1,22/12/2019,13:00,Osasuna,Sociedad,3,4,A,LIG13,LIG16,Pamplona,
SP1,22/12/2019,15:00,Betis,Ath Madrid,1,2,A,LIG4,LIG2,Seville,
SP1,22/12/2019,17:30,Levante,Celta,3,1,H,LIG11,LIG5,Valencia,
