Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Team ID,Opponent,Attendance
D1,2020-02-01,14:30,Augsburg,Werder Bremen,2,1,H,BUN0,BUN16,Augsburg,BUN0,Werder Bremen,"29,432"
D1,2020-02-01,17:30,RB Leipzig,M'gladbach,2,2,D,BUN13,BUN11,Leipzig,BUN13,Borussia Mönchengladbach,"42,146"
D1,2020-02-01,14:30,Fortuna Dusseldorf,Ein Frankfurt,1,1,D,BUN5,BUN3,Dusseldorf,BUN5,Eintracht Frankfurt,"45,018"
D1,2020-02-01,14:30,Mainz,Bayern Munich,1,3,A,BUN10,BUN1,Mainz,BUN10,Bayern Munich,"33,305"
D1,2020-02-02,17:00,Paderborn,Wolfsburg,2,4,A,BUN12,BUN17,Paderborn,BUN12,VfL Wolfsburg,"13,926"
D1,2020-02-02,14:30,FC Koln,Freiburg,4,0,H,BUN4,BUN6,Cologne,BUN4,SC Freiburg,"50,000"
D1,2020-02-07,19:30,Ein Frankfurt,Augsburg,5,0,H,BUN3,BUN0,Frankfurt,BUN3,FC Augsburg,"48,800"
D1,2020-02-08,14:30,Freiburg,Hoffenheim,1,0,H,BUN6,BUN8,Freiburg,BUN6,1899 Hoffenheim,"24,000"
D1,2020-02-08,14:30,Hertha,Mainz,1,3,A,BUN7,BUN10,Berlin,BUN7,Mainz 05,"35,049"
D1,2020-02-08,14:30,Werder Bremen,Union Berlin,0,2,A,BUN16,BUN15,Bremen,BUN16,1. FC Union Berlin,"42,100"
D1,2020-02-08,17:30,Leverkusen,Dortmund,4,3,H,BUN9,BUN2,Leverkusen,BUN9,Borussia Dortmund,"30,210"
D1,2020-02-08,14:30,Schalke 04,Paderborn,1,1,D,BUN14,BUN12,Gelsenkirchen,BUN14,SC Paderborn 07,"61,614"
D1,2020-02-08,14:30,Wolfsburg,Fortuna Dusseldorf,1,1,D,BUN17,BUN5,Wolfsburg,BUN17,Fortuna Düsseldorf,"23,445"
D1,2020-02-09,17:00,Bayern Munich,RB Leipzig,0,0,D,BUN1,BUN13,Munich,BUN1,RB Leipzig,"75,000"
D1,2020-02-14,19:30,Dortmund,Ein Frankfurt,4,0,H,BUN2,BUN3,Dortmund,BUN2,Eintracht Frankfurt,"81,365"
D1,2020-02-15,14:30,RB Leipzig,Werder Bremen,3,0,H,BUN13,BUN16,Leipzig,BUN13,Werder Bremen,"41,308"
