,Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Unnamed: 11,Latitude,Longitude,Avg Temp (in F)
161,D1,2020-01-19,17:00,Paderborn,Leverkusen,1,4,A,BUN12,BUN9,Paderborn,,51.7189205,8.757509299999999,35
162,D1,2020-01-24,19:30,Dortmund,FC Koln,5,1,H,BUN2,BUN4,Dortmund,,51.5135872,7.465298100000001,38
163,D1,2020-01-25,14:30,Ein Frankfurt,RB Leipzig,2,0,H,BUN3,BUN13,Frankfurt,,50.1109221,8.6821267,37
164,D1,2020-01-25,14:30,Freiburg,Paderborn,0,2,A,BUN6,BUN12,Freiburg,,47.9990077,7.842104299999999,41
165,D1,2020-01-25,14:30,Gladbach,Mainz,3,1,H,BUN11,BUN10,Monchengladbach,,51.1804572,6.4428041,36
166,D1,2020-01-25,14:30,Union Berlin,Augsburg,2,0,H,BUN15,BUN0,Berlin,,52.52000659999999,13.404954,36
167,D1,2020-01-25,14:30,Wolfsburg,Hertha,1,2,A,BUN17,BUN7,Wolfsburg,,52.4226503,10.7865461,34
168,D1,2020-01-25,17:30,Bayern Munich,Schalke 04,5,0,H,BUN1,BUN14,Munich,,48.1351253,11.5819805,37
169,D1,2020-01-26,14:30,Werder Bremen,Hoffenheim,0,3,A,BUN16,BUN8,Bremen,,53.07929619999999,8.8016936,38
170,D1,2020-01-26,17:00,Leverkusen,Fortuna Dusseldorf,3,0,H,BUN9,BUN5,Leverkusen,,51.04592479999999,7.0192196,41
171,D1,2020-01-31,19:30,Hertha,Schalke 04,0,0,D,BUN7,BUN14,Berlin,,52.52000659999999,13.404954,49
172,D1,2020-02-01,14:30,Augsburg,Werder Bremen,2,1,H,BUN0,BUN16,Augsburg,,48.3705449,10.89779,50
173,D1,2020-02-01,14:30,Dortmund,Union Berlin,5,0,H,BUN2,BUN15,Dortmund,,51.5135872,7.465298100000001,51
174,D1,2020-02-01,14:30,Fortuna Dusseldorf,Ein Frankfurt,1,1,D,BUN5,BUN3,Dusseldorf,,51.2277411,6.7734556,52
175,D1,2020-02-01,14:30,Hoffenheim,Leverkusen,2,1,H,BUN8,BUN9,Sinsheim,,49.2488637,8.8884905,51
